"interview","pre.interest.level","pre.satisfaction","pre.asr.confidence","pre.ease.of.use","pre.previous.experience","post.interest.level","post.satisfaction","post.asr.confidence","post.ease.of.use","post.previous.experience"
1,4,4,4,4,4,4,4,4,4,4
2,5,4,3,3,1,4,3,2,5,4
3,4,3,3,3,3,4,3,4,4,2
4,4,4,4,4,5,4,4,5,4,4
5,4,3,4,4,4,3,2,5,4,4
6,3,3,3,3,3,3,3,2,3,4
7,3,4,4,4,5,4,2,4,4,4
8,3,3,3,3,3,2,2,5,5,2
9,4,4,3,3,1,4,4,4,4,3
10,4,4,3,3,4,3,2,2,4,4
11,4,3,3,4,5,3,4,3,4,5
12,3,2,2,3,4,4,2,2,4,4
13,4,4,4,4,5,2,2,1,3,4
14,3,5,5,5,5,3,5,4,4,3
15,4,3,3,3,5,3,3,5,3,4
16,4,4,4,4,5,4,4,4,5,4
17,3,3,3,3,3,4,5,5,4,4
18,3,3,3,3,3,3,3,3,3,3
19,3,3,3,3,3,4,4,4,4,3
20,3,3,3,3,3,4,3,3,5,4
21,3,3,3,3,3,3,3,3,3,3
